experiment,read,promoter,rbs,gene,terminator
M,8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,J23116,RBSc13,G_24769,T3_ECK120033737
M,8ac19713-d2fc-43b2-a682-7af4a8eab569,J23102,RBSc36,siaT,T1_L3S2P55
M,fd2b4369-6293-4540-bdac-0e93fbdd88e6,J23113,RBSc36,igoT,T1_L3S2P55
M,8c253845-b1a2-4eb5-b2cb-2f9b375d224f,J23116,RBSc13,G_24769,T3_ECK120033737
M,847889a6-1b34-4b8d-826d-b3c5dc8e48f5,J23113,RBSc13,igoT,T1_L3S2P55
M,b7d6c7c9-87fc-488f-9cb0-bddaf335e462,J23100,RBSc42,siaT,T1_L3S2P55
M,0285eba0-31ff-46f1-8cf1-5a85e883e7af,J23100,RBSc42,siaT,T1_L3S2P55
M,4d2e8539-84dc-4201-9afd-33e4ddbe0828,J23113,RBSc33,igoT,T1_L3S2P55
M,f30c4186-c7a9-4162-95e5-243e42ce61ec,J23113,RBSc36,siaT,T1_L3S2P55
M,c2340138-4abb-45f2-89f3-e233888c99fb,J23113,RBSc44,siaT,T1_L3S2P55
M,b1f63357-11b0-4a1f-98c0-e856df5a0661,J23113,RBSc44,siaT,T1_L3S2P55
M,755f78e1-b8eb-4d7e-bf20-d2bc2e519e31,J23113,RBSc36,igoT,T1_L3S2P55
M,759f1471-68f2-4990-aa15-d8ee7dabbdcf,J23107,RBSc36,igoT,T1_L3S2P55
M,d98c8010-e771-4f65-9099-bdcd049c54c6,J23118,RBSc36,siaT,T1_L3S2P55
M,38fadba3-18ef-4af9-987a-07c344f61330,J23113,RBSc13,igoT,T3_ECK120033737
M,2a829727-1865-40d8-ac1c-f4734845bb93,J23118,RBSc42,siaT,T1_L3S2P55
M,2a829727-1865-40d8-ac1c-f4734845bb93,J23113,RBSc36,G_24769,T3_ECK120033737
M,04507c22-5dd8-4d5d-9d97-0e292faa8129,J23100,RBSc36,siaT,T1_L3S2P55
M,c26c36d2-66fc-4976-aa78-660ed7d6c5a6,J23113,RBSc36,siaT,T1_L3S2P55
M,72d5839e-9427-477d-a470-7fc427c9e8fc,J23102,RBSc36,siaT,T1_L3S2P55
M,47778639-d2e1-4c50-b9a1-65e98501100e,J23118,RBSc42,siaT,T1_L3S2P55
M,29086807-dc05-4ee4-a3a0-8aaaa97feb1e,J23118,RBSc42,siaT,T1_L3S2P55
M,c6680702-31c0-43ab-a86f-ff4b9af57f7a,J23102,RBSc36,siaT,T1_L3S2P55
M,66548814-b1b9-4ddc-ae37-fea34f2ac26f,J23113,RBSc36,siaT,T1_L3S2P55
M,b9ec08a1-8134-44de-83f4-288da2119d55,J23107,RBSc33,siaT,T1_L3S2P55
M,e7aa8ac0-496c-43ca-9dbd-dc8841dcba56,J23107,RBSc33,siaT,T1_L3S2P55
M,0519f08f-b108-4fcf-9049-d96263f3317b,J23113,RBSc13,igoT,T1_L3S2P55
M,8f329dca-42bc-46fc-888b-a3b97d43b4c4,J23102,RBSc36,siaT,T1_L3S2P55
M,b13372dc-7fb2-4c38-8c22-88a2550a50a3,J23113,RBSc44,siaT,T1_L3S2P55
M,6b930694-9d6b-4d4d-a3cb-75625cd24ebd,J23113,RBSc44,siaT,T1_L3S2P55
M,018ca816-fd12-477f-a662-f8eefc0840f2,J23113,RBSc44,dctM:siaM,T3_ECK120033737
M,1c5648df-aa46-4530-88b9-511b912cfbf7,J23113,RBSc13,igoT,T1_L3S2P55
M,64708ee8-8e55-419c-ab39-d7ba40120c60,J23113,RBSc44,siaT,T1_L3S2P55
M,f5cb5e19-1169-45ec-a8a9-6e4e902600a6,J23102,RBSc36,siaT,T1_L3S2P55
EF1,f58a56a4-9215-457a-a1ef-2942906902b6,J23107,RBSc36,symE,T2_L3S2P21
EF1,687e9abd-f886-4283-a7ce-225d298a29b8,J23116,RBSc58,symE,T2_L3S2P21
EF1,b1ef419b-8bd1-459c-acf9-b3c167278548,J23102,RBSc58,symE,T2_L3S2P21
EF1,84cbd50b-969d-4724-a4a5-3d1595820444,J23107,RBSc36,symE,T2_L3S2P21
EF1,873e3763-6d7f-4b30-b1df-36abd479ed5a,J23107,RBSc36,pac,T1_L3S2P55
EF1,f3985bf9-40e5-475a-808d-e8018ce3ee0e,J23100,RBSc36,pac,T1_L3S2P55
EF1,0d671a38-737c-475f-9fb1-b34a5dc0ef81,J23113,RBSc58,symE,T2_L3S2P21
EF1,0d671a38-737c-475f-9fb1-b34a5dc0ef81,J23107,RBSc36,pac,T1_L3S2P55
EF1,e4fa7d1c-d418-4457-a2ac-998da00dfd16,J23102,RBSc36,pac,T1_L3S2P55
EF1,83ce6027-53f7-4fcf-8e50-b1668ff7debb,J23116,RBSc44,symE,T2_L3S2P21
EF1,88260580-b34b-4437-8c42-f80dcb5ff67f,J23113,RBSc36,pac,T1_L3S2P55
EF1,aa973ca5-163c-46f2-b14f-cde47010e6ca,J23118,RBSc36,symE,T2_L3S2P21
EF1,294ff283-f6c3-40b6-a47b-a60fed539017,J23107,RBSc36,symE,T2_L3S2P21
EF1,5c9d81c6-b943-4933-94f3-8ff015c74838,J23100,RBSc36,symE,T2_L3S2P21
EF1,a6fdf72f-b90a-46a7-8ef7-a3d52fe4ed70,J23116,RBSc36,pac,T1_L3S2P55
EF1,e9637fa1-644b-4f23-993c-e9e51a825df1,J23107,RBSc36,symE,T2_L3S2P21
EF1,14f0b109-c8a5-434f-b905-32238f53fc5c,J23116,RBSc36,pac,T1_L3S2P55
EF1,c2442546-714b-4e98-8852-c86095ce6ac2,J23113,RBSc44,symE,T2_L3S2P21
