query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
36447d0c-697c-4d16-b092-e87d181d9a52,RBSc36,100.000,31,0,0,251,281,1,31,3.04e-13,58.4
f58a56a4-9215-457a-a1ef-2942906902b6,RBSc36,100.000,31,0,0,5222,5252,31,1,1.69e-12,58.4
f58a56a4-9215-457a-a1ef-2942906902b6,RBSc36,100.000,31,0,0,2545,2575,31,1,1.69e-12,58.4
687e9abd-f886-4283-a7ce-225d298a29b8,RBSc58,100.000,31,0,0,831,861,1,31,7.23e-13,58.4
b1ef419b-8bd1-459c-acf9-b3c167278548,RBSc58,100.000,31,0,0,1418,1448,31,1,7.22e-13,58.4
d0c6f5c8-ce82-466b-9c00-d6cb4e1d3bde,RBSc36,100.000,31,0,0,102,132,31,1,1.84e-13,58.4
959e3b23-a6b0-477e-b685-a84125a43ea3,RBSc36,100.000,31,0,0,54,84,1,31,3.77e-13,58.4
ed36c3d5-a41a-4031-8330-2e398e70cf0c,RBSc36,100.000,31,0,0,49,79,31,1,1.30e-13,58.4
cf0d68be-6ac2-4a71-8c99-1e470a5d5306,RBSc58,100.000,31,0,0,262,292,31,1,2.93e-13,58.4
c04147e4-3981-46ee-a491-14c06ea817bf,RBSc36,100.000,31,0,0,1367,1397,1,31,4.97e-13,58.4
701af728-89e5-4a11-ae24-73797c782c8e,RBSc36,100.000,31,0,0,290,320,1,31,8.89e-13,58.4
84cbd50b-969d-4724-a4a5-3d1595820444,RBSc36,100.000,31,0,0,999,1029,31,1,8.58e-13,58.4
39dc8fec-94b1-4c48-8b8c-4f3d5f463c5f,RBSc44,100.000,30,0,0,451,480,30,1,9.34e-13,56.5
66a4f829-58e0-4344-8cb9-fb03b3438e5b,RBSc36,100.000,31,0,0,970,1000,31,1,9.12e-13,58.4
873e3763-6d7f-4b30-b1df-36abd479ed5a,RBSc13,100.000,31,0,0,49,79,31,1,1.35e-12,58.4
873e3763-6d7f-4b30-b1df-36abd479ed5a,RBSc36,96.875,32,0,1,2725,2756,31,1,6.30e-11,52.8
f3985bf9-40e5-475a-808d-e8018ce3ee0e,RBSc58,100.000,31,0,0,331,361,31,1,1.69e-12,58.4
f3985bf9-40e5-475a-808d-e8018ce3ee0e,RBSc36,100.000,31,0,0,3005,3035,31,1,1.69e-12,58.4
0d671a38-737c-475f-9fb1-b34a5dc0ef81,RBSc58,100.000,31,0,0,743,773,31,1,1.92e-12,58.4
0d671a38-737c-475f-9fb1-b34a5dc0ef81,RBSc36,100.000,31,0,0,3431,3461,31,1,1.92e-12,58.4
e4fa7d1c-d418-4457-a2ac-998da00dfd16,RBSc58,100.000,31,0,0,3223,3253,1,31,1.14e-12,58.4
e4fa7d1c-d418-4457-a2ac-998da00dfd16,RBSc36,100.000,31,0,0,547,577,1,31,1.14e-12,58.4
8ca57bcf-819b-4558-98bc-069ecfb364e5,RBSc36,100.000,31,0,0,1318,1348,1,31,1.69e-12,58.4
8ca57bcf-819b-4558-98bc-069ecfb364e5,RBSc36,100.000,31,0,0,4229,4259,1,31,1.69e-12,58.4
ca44f0ec-e4ee-48f4-8c33-9ecaa0bb90f6,RBSc36,100.000,31,0,0,566,596,1,31,3.36e-13,58.4
ef0fad41-bdd3-4f59-853b-a1da5fce4875,RBSc36,100.000,31,0,0,2839,2869,1,31,1.69e-12,58.4
ef0fad41-bdd3-4f59-853b-a1da5fce4875,RBSc42,100.000,31,0,0,5516,5546,1,31,1.69e-12,58.4
83ce6027-53f7-4fcf-8e50-b1668ff7debb,RBSc44,100.000,30,0,0,277,306,1,30,1.07e-12,56.5
88260580-b34b-4437-8c42-f80dcb5ff67f,RBSc36,100.000,31,0,0,2788,2818,1,31,1.67e-12,58.4
aa973ca5-163c-46f2-b14f-cde47010e6ca,RBSc36,100.000,31,0,0,1217,1247,1,31,1.69e-12,58.4
aa973ca5-163c-46f2-b14f-cde47010e6ca,RBSc36,100.000,31,0,0,3897,3927,1,31,1.69e-12,58.4
17350c18-02f5-484c-aae1-104ce70a1a5b,RBSc36,100.000,31,0,0,1897,1927,1,31,6.24e-13,58.4
b9bbc222-f4b4-4216-b42c-06fee972467d,RBSc36,100.000,31,0,0,494,524,1,31,2.49e-13,58.4
fc06b2ff-5472-4d52-958f-54e44bd41dc7,RBSc36,100.000,31,0,0,1417,1447,31,1,5.20e-13,58.4
