experiment,read,sequence,start_flank,end_flank,read_length
M,fd820c5e-b16c-40e7-a021-c6d6985ad2db,1:1557-no_hits;1558:1586-RBSc13;1590:1624-J23107;1665:1721-T3_ECK120033737;1722:2944-no_hits,1557,1223,2944
M,72e52605-61dc-4d45-8fa7-56a6508a3907,1:235-no_hits;236:270-J23113;274:303-RBSc44;306:360-T3_ECK120033737;361:1294-no_hits,235,934,1294
M,bfddf483-e79c-49ef-a4ab-6e5dbf7db47a,1:35-no_hits;36:70-J23100;103:574-siaT;578:634-T1_L3S2P55;3412:3468-T3_ECK120033737;3469:3499-no_hits,35,31,3499
M,6aa0c683-0462-4c14-839f-abdbb779c7d9,1:2162-no_hits;2163:3523-igoT;3527:3583-T1_L3S2P55;3616:3650-J23113;3780:3814-J23107;3815:4486-no_hits,2162,672,4486
M,df1c39c0-25d2-4fbc-8ade-3a434b929ac5,1:1161-no_hits;1162:1196-J23113;1200:1230-RBSc36;1231:1295-igoT;1296:1312-no_hits,1161,17,1312
M,54965547-7674-4b7b-839a-12e6acd66262,1:439-siaT;440:470-RBSc13;571:627-T3_ECK120033737;664:698-J23113;1217:1250-J23116;3979:4035-T1_L3S2P55;4036:4058-no_hits,0,23,4058
M,201cf183-c6fc-4de1-8810-be1f3f710486,1:719-no_hits;720:754-J23116;773:830-T3_ECK120033737;3597:3652-T1_L3S2P55;3656:4122-siaT;4123:4153-RBSc13;4284:4547-G_24769;4548:4550-no_hits,719,3,4550
M,6298816c-194b-4ea8-9816-3fb0f909f817,1:2246-no_hits;2247:2281-J23113;2285:2315-RBSc33;2316:3669-igoT;3804:3834-RBSc36;3835:5106-dctM:siaM;5265:5295-RBSc13;5296:5766-siaT;5770:5826-T1_L3S2P55;5827:6287-no_hits,2246,461,6287
M,ed3ce20d-2750-4569-9de9-8f6bdd95974f,1:318-G_24769;471:505-J23118;537:571-J23116;572:1344-no_hits,0,773,1344
M,f0bb833b-fe13-4f50-b1f3-63f9b0b5398b,1:1019-no_hits;1020:1076-T3_ECK120033737;1079:1108-RBSc44;1112:1146-J23113;1147:2963-no_hits,1019,1817,2963
M,73268df8-7a2f-4391-986c-bb64ede42839,1:1344-no_hits;1345:1376-J23102;1414:1448-J23113;1452:1482-RBSc13;1485:1540-T3_ECK120033737;1541:3000-no_hits,1344,1460,3000
M,8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,1:199-no_hits;200:256-T3_ECK120033737;260:1228-G_24769;1229:1259-RBSc13;1263:1297-J23116;1298:2851-no_hits,199,1554,2851
M,bd40c5ca-3862-4225-8d16-2dddecf7daef,1:1266-no_hits;1267:1300-J23100;1320:1365-T3_ECK120033737;1444:2067-dctM:siaM;2068:2067-no_hits,1266,0,2067
