experiment,read,sequence(; separated),positions (;spearated),order_doesn't_quite_work
M,fd820c5e-b16c-40e7-a021-c6d6985ad2db,RBSc13;J23107;T3_ECK120033737,-1558:-1586;-1590:-1624;-1665:-1721,0
M,72e52605-61dc-4d45-8fa7-56a6508a3907,J23113;RBSc44;T3_ECK120033737,236:270;274:303;306:360,0
M,bfddf483-e79c-49ef-a4ab-6e5dbf7db47a,J23100;siaT;T1_L3S2P55;T3_ECK120033737,36:70;103:574;578:634;3412:3468,0
M,6aa0c683-0462-4c14-839f-abdbb779c7d9,igoT;T1_L3S2P55;J23113;J23107,2163:3523;3527:3583;3616:3650;3780:3814,0
M,df1c39c0-25d2-4fbc-8ade-3a434b929ac5,J23113;RBSc36;igoT,1162:1196;1200:1230;1231:1295,0
M,54965547-7674-4b7b-839a-12e6acd66262,siaT;RBSc13;T3_ECK120033737;J23113;J23116;T1_L3S2P55,-1:-439;-440:-470;-571:-627;-664:-698;-1217:-1250;-3979:-4035,0
M,201cf183-c6fc-4de1-8810-be1f3f710486,J23116;T3_ECK120033737;T1_L3S2P55;siaT;RBSc13;G_24769,-720:-754;-773:-830;-3597:-3652;-3656:-4122;-4123:-4153;-4284:-4547,0
M,6298816c-194b-4ea8-9816-3fb0f909f817,J23113;RBSc33;igoT;RBSc36;dctM:siaM;RBSc13;siaT;T1_L3S2P55,2247:2281;2285:2315;2316:3669;3804:3834;3835:5106;5265:5295;5296:5766;5770:5826,0
M,ed3ce20d-2750-4569-9de9-8f6bdd95974f,G_24769;J23118;J23116,-1:-318;-471:-505;-537:-571,0
M,f0bb833b-fe13-4f50-b1f3-63f9b0b5398b,T3_ECK120033737;RBSc44;J23113,-1020:-1076;-1079:-1108;-1112:-1146,0
M,73268df8-7a2f-4391-986c-bb64ede42839,J23102;J23113;RBSc13;T3_ECK120033737,1345:1376;1414:1448;1452:1482;1485:1540,0
M,8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,T3_ECK120033737;G_24769;RBSc13;J23116,-200:-256;-260:-1228;-1229:-1259;-1263:-1297,0
M,bd40c5ca-3862-4225-8d16-2dddecf7daef,J23100;T3_ECK120033737;dctM:siaM,-1267:-1300;-1320:-1365;1444:2067,0
M,12c2e7e1-6539-48cd-afad-c0416f4959b2,T3_ECK120033737;J23113;RBSc33;dctM:siaM,660:716;3941:3976;3980:4010;4011:4075,0
M,1814f5bd-bb31-4834-bc65-ea44a8b9a128,T3_ECK120033737;RBSc13;J23113,-2451:-2507;-2584:-2614;-2618:-2652,0
M,3d1913b9-9c40-48fe-ad52-31e9159ea002,J23102;T1_L3S2P55;siaT,-404:-438;3359:3407;-3419:-3507,0
M,8ac19713-d2fc-43b2-a682-7af4a8eab569,J23118;J23102;RBSc36;siaT;T1_L3S2P55,286:320;517:551;554:584;585:1055;1059:1114,0
M,e90bf859-2050-4375-b273-45efe742c062,igoT;T1_L3S2P55;J23100;J23113;RBSc44;T3_ECK120033737;J23107;RBSc58,-11:-592;596:652;663:697;732:766;770:799;802:843;3651:3685;3689:3719,0
M,fd2b4369-6293-4540-bdac-0e93fbdd88e6,J23113;RBSc36;igoT;T1_L3S2P55;J23118;J23100;RBSc13,161:195;199:229;230:1594;1598:1654;1687:1721;1921:1955;1959:1989,0
M,7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38,igoT;T1_L3S2P55;J23100;RBSc58;J23107;RBSc33,3:230;234:284;416:450;454:484;3222:3256;3260:3290,0
M,e1ecf761-3c46-419e-ad54-eef235eb7ce5,RBSc13;J23100;T3_ECK120033737;J23113,-898:-928;-932:-966;-1029:-1085;-1122:-1156,0
M,529aa989-0d1e-4cba-97e5-db3c47ded2a2,T3_ECK120033737;J23118,-1482:-1538;-1673:-1707,0
M,ccc714e3-eb83-4491-be75-491a874cb300,G_24769;J23113;T3_ECK120033737,-1:-395;-430:-464;-480:-536,0
M,1e5d7c3d-0c06-4e30-8671-f6fbf27e96bb,T3_ECK120033737;J23116;RBSc44,1613:1668;1687:1721;1725:1754,0
M,9c95d901-8c7c-4861-941d-b3bb52971354,J23113;RBSc13;T3_ECK120033737,2226:2260;2264:2294;2297:2352,0
M,f64d9a7a-004b-4d22-968c-da333299ede5,J23100;J23118,206:240;275:309,0
M,073148b7-1823-4b14-acf8-18caa98ab2b5,J23102;RBSc58,-367:-401;-413:-442,0
M,916e1548-98b4-44a7-a727-2a7d5efcc182,J23113;RBSc58;J23102;T3_ECK120033737,2521:2555;2559:2588;2598:2632;2665:2721,0
M,8c253845-b1a2-4eb5-b2cb-2f9b375d224f,J23116;RBSc13;G_24769;T3_ECK120033737,1529:1563;1567:1597;1598:2558;2562:2604,0
M,cf856a4a-6c42-4374-ad4c-41fa21abb592,J23113;RBSc13;T3_ECK120033737;RBSc42;siaT;T1_L3S2P55,762:796;800:830;833:889;990:1020;1021:1490;1494:1551,0
M,20dc884e-c56e-4b92-84e3-70054acd18c2,J23107;igoT;T1_L3S2P55;RBSc36;dctM:siaM;T3_ECK120033737;J23100,1223:1257;-1310:-2649;2653:2708;2779:2809;2810:4076;4080:4136;4199:4233,0
M,23a315b9-4088-46e8-887c-1de1c173165d,J23100;J23102;RBSc42;T3_ECK120033737,244:278;313:347;351:381;384:439,0
M,b385d3fe-61bb-466d-8079-44b6606b3f5b,J23113;T3_ECK120033737,332:366;398:454,0
M,847889a6-1b34-4b8d-826d-b3c5dc8e48f5,J23100;T3_ECK120033737;dctM:siaM;RBSc33;T1_L3S2P55;igoT;RBSc13;J23113,-23:-57;-120:-176;-180:-1446;-1447:-1477;-1548:-1605;-1609:-2954;-2955:-2985;2989:3020,0
M,c0566dcd-13b3-4d5a-8c69-b2f704d8fb4b,RBSc13;J23100,-945:-975;-979:-1013,0
M,b74dfa49-1875-418f-bdde-f28ee238382e,J23113;RBSc13;T3_ECK120033737,255:289;293:323;326:368,0
M,5cf9109f-ebb8-4f60-b986-3dc4edac2624,igoT;T1_L3S2P55;J23102;J23100,-1:-1109;1113:1169;1180:1214;1249:1283,0
M,b7d6c7c9-87fc-488f-9cb0-bddaf335e462,T1_L3S2P55;siaT;RBSc42;J23100;T3_ECK120033737,-1780:-1833;-1841:-2298;-2299:-2329;-2333:-2367;-2430:-2483,0
M,e0621a9c-7fe9-48b8-a229-e226dafd0683,J23118;RBSc13;J23102,-1129:-1163;-1214:-1244;-1248:-1282,0
M,0e65b93d-2d38-468d-9fb4-0bf123c04575,RBSc36;J23116;RBSc13;J23113;T3_ECK120033737;G_24769,-715:-745;-749:-783;-861:-891;-895:-929;-3751:-3796;-3806:-4035,0
M,0285eba0-31ff-46f1-8cf1-5a85e883e7af,T1_L3S2P55;siaT;RBSc42;J23100;J23118;igoT;RBSc58;J23107,-272:-328;-332:-803;-804:-834;-838:-872;-1072:-1106;-1199:-2559;-2560:-2590;-2594:-2628,0
M,4d2e8539-84dc-4201-9afd-33e4ddbe0828,J23113;RBSc33;igoT;T1_L3S2P55;T3_ECK120033737,690:724;728:758;759:2113;2117:2172;2204:2260,0
M,ce3561aa-78d1-41b4-8491-00d3cc420366,T3_ECK120033737;J23116;RBSc44;siaT,1038:1094;1157:1191;1195:1224;1225:1493,0
M,1a6c03b3-1b76-4870-8da3-c99c379d2bd8,RBSc58;J23100;G_24769,-1880:-1909;-1913:-1945;-1957:-2043,0
M,20a9e135-c9ae-444e-8e2e-b936bff97917,siaT;T1_L3S2P55;T3_ECK120033737;J23116,1:56;60:111;2964:3017;3050:3084,0
M,b822fcc8-c703-4b99-9acc-64bf17c14c53,J23118,-621:-655,0
M,826cd91c-b659-409c-b13e-9c05f228fd0f,G_24769;J23116,-1:-936;-971:-1003,0
M,f30c4186-c7a9-4162-95e5-243e42ce61ec,T1_L3S2P55;siaT;RBSc36;J23113;RBSc13;J23107;T3_ECK120033737;J23100,-625:-676;-680:-1150;-1151:-1181;-1185:-1219;-1230:-1258;-1262:-1296;-1337:-1391;-1429:-1463,0
M,c2340138-4abb-45f2-89f3-e233888c99fb,J23102;RBSc13;T3_ECK120033737;J23113;RBSc44;siaT;T1_L3S2P55,1811:1845;1939:1969;1972:2025;2088:2122;2127:2156;2157:2625;2629:2685,0
M,b1f63357-11b0-4a1f-98c0-e856df5a0661,T1_L3S2P55;siaT;RBSc44;J23113;T3_ECK120033737;RBSc13;RBSc36;J23102,-912:-967;-971:-1443;-1444:-1473;-1477:-1511;-1573:-1629;-1632:-1662;-1729:-1759;-1763:-1797,0
M,d8a49225-9ca3-4464-86d2-d91a271a6b21,J23118,202:236,0
M,755f78e1-b8eb-4d7e-bf20-d2bc2e519e31,J23113;RBSc36;igoT;T1_L3S2P55;T3_ECK120033737,2805:2839;2843:2873;2874:4228;4232:4288;4320:4355,0
M,759f1471-68f2-4990-aa15-d8ee7dabbdcf,J23107;RBSc36;igoT;T1_L3S2P55;J23118;J23100;RBSc13,1821:1855;1859:1889;1890:3248;3252:3303;3341:3375;3575:3609;3613:3643,0
M,d14cb860-ebca-45ab-8336-d752c3d74bdc,J23118,-1530:-1560,0
M,69cac4d2-8c00-4c27-a6f6-1741d7f0aa9b,T1_L3S2P55;J23113;T3_ECK120033737;RBSc44;siaT,291:347;3105:3139;3174:3217;3363:3392;-3398:-3559,0
M,303270f6-48ba-471b-beb8-5f2991ee2186,igoT;T1_L3S2P55;RBSc13;T3_ECK120033737;J23116,41:1399;1403:1459;1531:1561;1564:1620;1683:1717,0
M,9fab0ffd-4b1c-42e7-91d0-2ae6acd221f7,siaT;RBSc33;J23107;T3_ECK120033737;J23100;T1_L3S2P55,-1:-155;-156:-186;-190:-224;-254:-310;-2154:-2188;-4947:-5003,0
M,d98c8010-e771-4f65-9099-bdcd049c54c6,J23100;J23118;RBSc36;siaT;T1_L3S2P55,1648:1681;1721:1755;1759:1789;1790:2246;2250:2307,0
M,91d0f90b-e70b-47e7-9f44-3ca969fd18c8,J23100;RBSc44;J23116;G_24769;T3_ECK120033737,2060:2095;2099:2128;2256:2290;2325:3295;3299:3352,0
M,adca55e3-a816-4739-841c-df0b902cc779,RBSc13;J23116,-1264:-1292;-1296:-1330,0
M,38fadba3-18ef-4af9-987a-07c344f61330,J23102;siaT;T1_L3S2P55;J23113;RBSc13;igoT;T3_ECK120033737,55:89;124:594;598:650;3375:3409;3413:3443;3444:4802;4893:4934,0
M,fbe00028-f0d7-44c3-89dc-3bf27d036c84,T3_ECK120033737;dctM:siaM;J23113,-489:-542;-548:-1814;-1850:-1884,0
M,145fdcf2-5087-4409-b9b2-ba45a3bb8e0a,J23100;RBSc13,-1:-28;32:62,0
M,70f6407c-844b-4d85-992e-9ddd57d8c539,J23102;RBSc42;T3_ECK120033737,1997:2031;2035:2065;2068:2121,0
M,a47bb2b4-6d53-4b35-a24f-ca4910d1cf48,igoT;T1_L3S2P55;J23107;RBSc58,-1:-483;487:543;3348:3382;3386:3416,0
M,2a829727-1865-40d8-ac1c-f4734845bb93,T1_L3S2P55;siaT;RBSc42;J23118;T3_ECK120033737;G_24769;RBSc36;J23113,-2581:-2627;-2639:-3108;-3109:-3139;-3143:-3177;-3210:-3266;-3270:-4238;-4239:-4269;4273:4304,0
M,30784bc5-8b83-4226-a921-49d89bf4373d,T3_ECK120033737;J23118;RBSc58,1668:1723;1761:1795;1799:1829,0
M,12f36ec7-c615-430e-b84d-ed5a8119068b,J23118,591:625,0
M,536bc384-86f5-420d-be6a-fd11581f8c9b,J23118;T3_ECK120033737;J23100;T1_L3S2P55;igoT,-740:-774;-3581:-3637;-3670:-3704;-3715:-3772;3777:4424,0
M,04507c22-5dd8-4d5d-9d97-0e292faa8129,T3_ECK120033737;dctM:siaM;J23113;T1_L3S2P55;siaT;RBSc36;J23100,-20:-76;-80:-1348;-1383:-1417;-4190:-4246;-4250:-4720;-4721:-4751;-4755:-4789,0
