query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
0c81cc81-3324-4a40-8732-565332383901,T2_L3S2P21,100.000,61,0,0,1183,1243,1,61,2.01e-29,113
0c81cc81-3324-4a40-8732-565332383901,T1_L3S2P55,100.000,57,0,0,706,762,1,57,3.36e-27,106
0469adb3-86e6-4cfe-9a9c-8deed88c5592,T1_L3S2P55,100.000,53,0,0,456,508,57,5,1.78e-25,99.0
0469adb3-86e6-4cfe-9a9c-8deed88c5592,T2_L3S2P21,100.000,34,0,0,1,34,34,1,6.48e-15,63.9
5821c5ee-6e96-49a8-b40c-9123e3a5d0d1,T1_L3S2P55,98.246,57,0,1,376,431,57,1,5.45e-25,99.0
09950408-752f-42bf-be9e-b73721afdf67,T1_L3S2P55,100.000,57,0,0,4031,4087,1,57,9.04e-27,106
f2bdbff0-9601-436a-a37d-ae6985a3068b,T2_L3S2P21,100.000,61,0,0,626,686,61,1,3.36e-29,113
f2bdbff0-9601-436a-a37d-ae6985a3068b,T1_L3S2P55,98.246,57,0,1,1039,1094,57,1,9.41e-25,99.0
19afd94d-286c-4d97-bb77-325608316924,T2_L3S2P21,98.214,56,0,1,2040,2094,1,56,3.33e-24,97.1
19afd94d-286c-4d97-bb77-325608316924,T1_L3S2P55,94.737,57,1,2,1650,1704,1,57,2.01e-21,87.9
2a7bc62c-6b02-4bde-89e3-6de4a45ad91a,T2_L3S2P21,98.276,58,0,1,3666,3722,61,4,5.23e-25,100
2a7bc62c-6b02-4bde-89e3-6de4a45ad91a,T1_L3S2P55,95.556,45,1,1,4148,4191,55,11,4.10e-16,71.3
43f2315c-3837-4ccd-9caa-601971d87009,T2_L3S2P21,100.000,57,0,0,1037,1093,1,57,3.04e-27,106
43f2315c-3837-4ccd-9caa-601971d87009,T1_L3S2P55,100.000,57,0,0,559,615,1,57,3.04e-27,106
1766a77f-6a4a-41d8-a797-cd5ad759da44,T2_L3S2P21,96.667,60,0,2,553,611,59,1,2.38e-25,99.0
4558e475-cd41-4e5c-9fd3-2b13b7e49916,T2_L3S2P21,100.000,61,0,0,1196,1256,1,61,6.71e-29,113
4558e475-cd41-4e5c-9fd3-2b13b7e49916,T1_L3S2P55,98.246,57,0,1,719,774,1,57,1.88e-24,99.0
6262bfd9-e144-4d1d-8050-d30b81760d88,T2_L3S2P21,100.000,61,0,0,28,88,1,61,3.55e-30,113
d1332462-dc90-4738-b8e3-912530e78152,T2_L3S2P21,100.000,61,0,0,314,374,61,1,1.71e-29,113
d1332462-dc90-4738-b8e3-912530e78152,T1_L3S2P55,100.000,47,0,0,795,841,57,11,1.04e-21,87.9
32689bca-03ff-40b2-a96d-424700a2e645,T2_L3S2P21,100.000,56,0,0,1025,1080,1,56,1.03e-26,104
32689bca-03ff-40b2-a96d-424700a2e645,T1_L3S2P55,100.000,52,0,0,548,599,1,52,1.73e-24,97.1
