query	gene_hit	%identiy	length	n_mismatch	gapopen	querystart	queryend	subjectstart	subjectend	evalue	bitscore      
bfddf483-e79c-49ef-a4ab-6e5dbf7db47a	siaT	99.153	472	3	1	103	574	1	471	0.0	848
6aa0c683-0462-4c14-839f-abdbb779c7d9	igoT	98.973	1363	8	2	2163	3523	1	1359	0.0	2435
df1c39c0-25d2-4fbc-8ade-3a434b929ac5	igoT	98.462	65	1	0	1231	1295	1	65	1.98e-28	115
e8c743bf-c99a-4c18-a970-949175326c7f	siaT	100.000	471	0	0	2710	3180	471	1	0.0	870
54965547-7674-4b7b-839a-12e6acd66262	siaT	98.405	439	5	2	1	439	437	1	0.0	771
b4910660-f324-4b64-a771-4069b3e5ddf6	dctM:siaM	99.298	285	2	0	2095	2379	1269	985	8.46e-149	516
201cf183-c6fc-4de1-8810-be1f3f710486	G_24769	98.253	687	6	5	5	686	686	1	0.0	1197
201cf183-c6fc-4de1-8810-be1f3f710486	G_24769	98.868	265	1	2	4284	4547	969	706	3.56e-135	472
201cf183-c6fc-4de1-8810-be1f3f710486	siaT	99.151	471	0	2	3656	4122	471	1	0.0	845
6298816c-194b-4ea8-9816-3fb0f909f817	igoT	99.044	1360	6	5	2316	3669	1	1359	0.0	2433
6298816c-194b-4ea8-9816-3fb0f909f817	dctM:siaM	99.686	1272	1	2	3835	5106	1	1269	0.0	2324
6298816c-194b-4ea8-9816-3fb0f909f817	siaT	98.941	472	3	2	5296	5766	1	471	0.0	843
fc507159-9cc8-4104-b6cf-92e0b92d68c4	siaT	99.153	472	2	2	598	1068	471	1	0.0	848
ed3ce20d-2750-4569-9de9-8f6bdd95974f	G_24769	98.750	320	2	1	1	318	320	1	1.29e-164	568
a3e13fc1-2a02-427d-a914-c7caaaa1fcb2	siaT	97.890	474	6	3	1633	2105	1	471	0.0	817
8d840083-2a95-47e4-ae33-8080e223403f	dctM:siaM	96.221	1138	13	22	1305	2424	1269	144	0.0	1836
8d840083-2a95-47e4-ae33-8080e223403f	siaT	92.050	478	17	14	650	1113	471	1	0.0	652
8cd078e9-9e3f-4113-8195-b3bf09cb7ec7	G_24769	99.897	969	1	0	260	1228	969	1	0.0	1784
82b4c15d-7b9a-40d0-bece-d95954bec9f8	siaT	94.492	472	15	10	2296	2763	465	1	0.0	717
09c39249-9f17-4afb-85b7-f29f8b8fd0e7	igoT	99.332	1048	2	2	1	1047	316	1359	0.0	1892
bd40c5ca-3862-4225-8d16-2dddecf7daef	dctM:siaM	100.000	624	0	0	1444	2067	1269	646	0.0	1153
12c2e7e1-6539-48cd-afad-c0416f4959b2	dctM:siaM	99.485	582	1	2	4	584	689	1269	0.0	1057
12c2e7e1-6539-48cd-afad-c0416f4959b2	dctM:siaM	92.537	67	2	3	4011	4075	1	66	2.90e-21	93.5
3d1913b9-9c40-48fe-ad52-31e9159ea002	siaT	98.093	367	3	4	1	365	365	1	0.0	636
3d1913b9-9c40-48fe-ad52-31e9159ea002	siaT	96.667	90	2	1	3419	3507	468	379	5.25e-38	148
8ac19713-d2fc-43b2-a682-7af4a8eab569	siaT	98.305	472	6	2	585	1055	1	471	0.0	826
e90bf859-2050-4375-b273-45efe742c062	igoT	98.421	760	5	4	3720	4479	1	753	0.0	1330
e90bf859-2050-4375-b273-45efe742c062	igoT	98.296	587	4	5	11	592	774	1359	0.0	1024
fd2b4369-6293-4540-bdac-0e93fbdd88e6	igoT	99.414	1365	2	4	230	1594	1	1359	0.0	2471
7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38	igoT	98.927	1118	8	4	3291	4406	1	1116	0.0	1995
7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38	igoT	97.403	231	1	4	3	230	1131	1359	3.58e-110	388
3654fb0e-90f4-43d9-8cc8-f2ef127c39da	dctM:siaM	100.000	1216	0	0	1123	2338	1269	54	0.0	2246
ccc714e3-eb83-4491-be75-491a874cb300	G_24769	99.291	564	0	1	3415	3978	969	410	0.0	1016
ccc714e3-eb83-4491-be75-491a874cb300	G_24769	100.000	395	0	0	1	395	395	1	0.0	730
a330d5dd-570f-4dcb-ab2a-8825f944b159	G_24769	99.569	927	0	4	1	925	925	1	0.0	1687
8c253845-b1a2-4eb5-b2cb-2f9b375d224f	G_24769	97.940	971	8	8	1598	2558	1	969	0.0	1672
cf856a4a-6c42-4374-ad4c-41fa21abb592	siaT	99.363	471	2	1	1021	1490	1	471	0.0	852
20dc884e-c56e-4b92-84e3-70054acd18c2	igoT	98.957	1342	10	4	1310	2649	20	1359	0.0	2398
20dc884e-c56e-4b92-84e3-70054acd18c2	dctM:siaM	99.448	1269	5	2	2810	4076	1	1269	0.0	2303
847889a6-1b34-4b8d-826d-b3c5dc8e48f5	igoT	98.456	1360	6	6	1609	2954	1359	1	0.0	2381
847889a6-1b34-4b8d-826d-b3c5dc8e48f5	dctM:siaM	99.134	1270	7	2	180	1446	1269	1	0.0	2281
