query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
fd820c5e-b16c-40e7-a021-c6d6985ad2db,RBSc13,100.000,29,0,0,1558,1586,29,1,1.22e-11,54.7
72e52605-61dc-4d45-8fa7-56a6508a3907,RBSc44,100.000,30,0,0,274,303,1,30,1.48e-12,56.5
df1c39c0-25d2-4fbc-8ade-3a434b929ac5,RBSc36,100.000,31,0,0,1200,1230,1,31,4.17e-13,58.4
54965547-7674-4b7b-839a-12e6acd66262,RBSc13,100.000,31,0,0,630,660,31,1,1.23e-12,58.4
54965547-7674-4b7b-839a-12e6acd66262,RBSc13,100.000,31,0,0,440,470,31,1,1.23e-12,58.4
201cf183-c6fc-4de1-8810-be1f3f710486,RBSc13,100.000,31,0,0,4123,4153,31,1,1.38e-12,58.4
0f5fddb3-9a1f-40a5-a438-55e68385047a,RBSc13,100.000,31,0,0,1516,1546,1,31,9.45e-13,58.4
6298816c-194b-4ea8-9816-3fb0f909f817,RBSc33,100.000,31,0,0,2285,2315,1,31,1.91e-12,58.4
6298816c-194b-4ea8-9816-3fb0f909f817,RBSc13,100.000,31,0,0,5265,5295,1,31,1.91e-12,58.4
6298816c-194b-4ea8-9816-3fb0f909f817,RBSc36,100.000,31,0,0,3804,3834,1,31,1.91e-12,58.4
fc507159-9cc8-4104-b6cf-92e0b92d68c4,RBSc13,100.000,31,0,0,1069,1099,31,1,1.05e-12,58.4
f0bb833b-fe13-4f50-b1f3-63f9b0b5398b,RBSc44,100.000,30,0,0,1079,1108,30,1,3.40e-12,56.5
a3e13fc1-2a02-427d-a914-c7caaaa1fcb2,RBSc58,100.000,31,0,0,1602,1632,1,31,1.06e-12,58.4
73268df8-7a2f-4391-986c-bb64ede42839,RBSc13,100.000,31,0,0,1452,1482,1,31,9.09e-13,58.4
8d840083-2a95-47e4-ae33-8080e223403f,RBSc44,100.000,30,0,0,1114,1143,30,1,2.78e-12,56.5
8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,RBSc13,100.000,31,0,0,1229,1259,31,1,9.10e-13,58.4
12c2e7e1-6539-48cd-afad-c0416f4959b2,RBSc33,100.000,31,0,0,3980,4010,1,31,1.24e-12,58.4
1814f5bd-bb31-4834-bc65-ea44a8b9a128,RBSc13,100.000,31,0,0,2584,2614,31,1,9.11e-13,58.4
8ac19713-d2fc-43b2-a682-7af4a8eab569,RBSc36,100.000,31,0,0,554,584,1,31,1.09e-12,58.4
e90bf859-2050-4375-b273-45efe742c062,RBSc58,100.000,31,0,0,3689,3719,1,31,1.36e-12,58.4
e90bf859-2050-4375-b273-45efe742c062,RBSc44,100.000,30,0,0,770,799,1,30,4.89e-12,56.5
fd2b4369-6293-4540-bdac-0e93fbdd88e6,RBSc13,100.000,31,0,0,1959,1989,1,31,1.38e-12,58.4
fd2b4369-6293-4540-bdac-0e93fbdd88e6,RBSc36,100.000,31,0,0,199,229,1,31,1.38e-12,58.4
7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38,RBSc33,100.000,31,0,0,3260,3290,1,31,1.34e-12,58.4
7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38,RBSc58,100.000,31,0,0,454,484,1,31,1.34e-12,58.4
e1ecf761-3c46-419e-ad54-eef235eb7ce5,RBSc13,100.000,31,0,0,1088,1118,31,1,9.13e-13,58.4
e1ecf761-3c46-419e-ad54-eef235eb7ce5,RBSc13,100.000,31,0,0,898,928,31,1,9.13e-13,58.4
1e5d7c3d-0c06-4e30-8671-f6fbf27e96bb,RBSc44,100.000,30,0,0,1725,1754,1,30,3.33e-12,56.5
9c95d901-8c7c-4861-941d-b3bb52971354,RBSc13,100.000,31,0,0,2264,2294,1,31,9.44e-13,58.4
073148b7-1823-4b14-acf8-18caa98ab2b5,RBSc58,100.000,30,0,0,413,442,30,1,3.26e-12,56.5
916e1548-98b4-44a7-a727-2a7d5efcc182,RBSc58,100.000,30,0,0,2559,2588,1,30,3.25e-12,56.5
8c253845-b1a2-4eb5-b2cb-2f9b375d224f,RBSc13,100.000,31,0,0,1567,1597,1,31,1.20e-12,58.4
cf856a4a-6c42-4374-ad4c-41fa21abb592,RBSc13,100.000,31,0,0,800,830,1,31,1.07e-12,58.4
cf856a4a-6c42-4374-ad4c-41fa21abb592,RBSc42,100.000,31,0,0,990,1020,1,31,1.07e-12,58.4
20dc884e-c56e-4b92-84e3-70054acd18c2,RBSc36,100.000,31,0,0,2779,2809,1,31,1.41e-12,58.4
23a315b9-4088-46e8-887c-1de1c173165d,RBSc42,100.000,31,0,0,351,381,1,31,3.08e-13,58.4
847889a6-1b34-4b8d-826d-b3c5dc8e48f5,RBSc33,100.000,31,0,0,1447,1477,31,1,9.75e-13,58.4
847889a6-1b34-4b8d-826d-b3c5dc8e48f5,RBSc13,100.000,31,0,0,2955,2985,31,1,9.75e-13,58.4
c0566dcd-13b3-4d5a-8c69-b2f704d8fb4b,RBSc13,100.000,31,0,0,945,975,31,1,9.39e-13,58.4
b74dfa49-1875-418f-bdde-f28ee238382e,RBSc13,100.000,31,0,0,293,323,1,31,9.38e-13,58.4
b7d6c7c9-87fc-488f-9cb0-bddaf335e462,RBSc42,100.000,31,0,0,2299,2329,31,1,9.26e-13,58.4
e0621a9c-7fe9-48b8-a229-e226dafd0683,RBSc13,100.000,31,0,0,1214,1244,31,1,9.24e-13,58.4
0e65b93d-2d38-468d-9fb4-0bf123c04575,RBSc13,100.000,31,0,0,861,891,31,1,1.22e-12,58.4
0e65b93d-2d38-468d-9fb4-0bf123c04575,RBSc36,100.000,31,0,0,715,745,31,1,1.22e-12,58.4
0285eba0-31ff-46f1-8cf1-5a85e883e7af,RBSc58,100.000,31,0,0,2560,2590,31,1,9.54e-13,58.4
0285eba0-31ff-46f1-8cf1-5a85e883e7af,RBSc42,100.000,31,0,0,804,834,31,1,9.54e-13,58.4
4d2e8539-84dc-4201-9afd-33e4ddbe0828,RBSc33,100.000,31,0,0,728,758,1,31,1.02e-12,58.4
ce3561aa-78d1-41b4-8491-00d3cc420366,RBSc44,100.000,30,0,0,1195,1224,1,30,1.71e-12,56.5
1a6c03b3-1b76-4870-8da3-c99c379d2bd8,RBSc58,100.000,30,0,0,1880,1909,30,1,2.34e-12,56.5
f30c4186-c7a9-4162-95e5-243e42ce61ec,RBSc36,100.000,31,0,0,1151,1181,31,1,5.08e-13,58.4
f30c4186-c7a9-4162-95e5-243e42ce61ec,RBSc13,100.000,29,0,0,1230,1258,29,1,6.57e-12,54.7
95db9c9e-ed3e-478e-9823-1cce69cd38eb,RBSc44,100.000,30,0,0,768,797,1,30,1.91e-12,56.5
c2340138-4abb-45f2-89f3-e233888c99fb,RBSc13,100.000,31,0,0,1939,1969,1,31,1.08e-12,58.4
c2340138-4abb-45f2-89f3-e233888c99fb,RBSc44,100.000,30,0,0,2127,2156,1,30,3.90e-12,56.5
b1f63357-11b0-4a1f-98c0-e856df5a0661,RBSc13,100.000,31,0,0,1632,1662,31,1,1.09e-12,58.4
b1f63357-11b0-4a1f-98c0-e856df5a0661,RBSc36,100.000,31,0,0,1729,1759,31,1,1.09e-12,58.4
b1f63357-11b0-4a1f-98c0-e856df5a0661,RBSc44,100.000,30,0,0,1444,1473,30,1,3.93e-12,56.5
