query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
fd820c5e-b16c-40e7-a021-c6d6985ad2db,J23107,100.000,35,0,0,1590,1624,35,1,6.51e-15,65.8
72e52605-61dc-4d45-8fa7-56a6508a3907,J23113,100.000,35,0,0,236,270,1,35,2.97e-15,65.8
bfddf483-e79c-49ef-a4ab-6e5dbf7db47a,J23100,100.000,35,0,0,36,70,1,35,7.74e-15,65.8
6aa0c683-0462-4c14-839f-abdbb779c7d9,J23107,100.000,35,0,0,2095,2129,1,35,9.93e-15,65.8
6aa0c683-0462-4c14-839f-abdbb779c7d9,J23107,100.000,35,0,0,3780,3814,1,35,9.93e-15,65.8
6aa0c683-0462-4c14-839f-abdbb779c7d9,J23113,100.000,35,0,0,3616,3650,1,35,9.93e-15,65.8
df1c39c0-25d2-4fbc-8ade-3a434b929ac5,J23113,100.000,35,0,0,1162,1196,1,35,3.01e-15,65.8
54965547-7674-4b7b-839a-12e6acd66262,J23116,100.000,35,0,0,474,508,35,1,8.98e-15,65.8
54965547-7674-4b7b-839a-12e6acd66262,J23116,100.000,34,0,0,1217,1250,34,1,3.23e-14,63.9
54965547-7674-4b7b-839a-12e6acd66262,J23113,100.000,35,0,0,664,698,35,1,8.98e-15,65.8
201cf183-c6fc-4de1-8810-be1f3f710486,J23116,100.000,35,0,0,4157,4191,35,1,1.01e-14,65.8
201cf183-c6fc-4de1-8810-be1f3f710486,J23116,100.000,35,0,0,720,754,35,1,1.01e-14,65.8
6298816c-194b-4ea8-9816-3fb0f909f817,J23113,100.000,35,0,0,2247,2281,1,35,1.33e-14,65.8
ed3ce20d-2750-4569-9de9-8f6bdd95974f,J23116,100.000,35,0,0,537,571,35,1,3.09e-15,65.8
ed3ce20d-2750-4569-9de9-8f6bdd95974f,J23118,100.000,35,0,0,471,505,35,1,3.09e-15,65.8
f0bb833b-fe13-4f50-b1f3-63f9b0b5398b,J23113,100.000,35,0,0,1112,1146,35,1,6.55e-15,65.8
73268df8-7a2f-4391-986c-bb64ede42839,J23113,100.000,35,0,0,1414,1448,1,35,6.63e-15,65.8
73268df8-7a2f-4391-986c-bb64ede42839,J23102,100.000,32,0,0,1345,1376,1,32,3.09e-13,60.2
8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,J23116,100.000,35,0,0,1263,1297,35,1,6.30e-15,65.8
bd40c5ca-3862-4225-8d16-2dddecf7daef,J23100,100.000,34,0,0,1267,1300,34,1,1.71e-14,63.9
12c2e7e1-6539-48cd-afad-c0416f4959b2,J23113,94.444,36,1,1,3941,3976,1,35,1.95e-11,54.7
1814f5bd-bb31-4834-bc65-ea44a8b9a128,J23113,100.000,35,0,0,2618,2652,35,1,6.65e-15,65.8
3d1913b9-9c40-48fe-ad52-31e9159ea002,J23102,100.000,35,0,0,404,438,35,1,7.76e-15,65.8
8ac19713-d2fc-43b2-a682-7af4a8eab569,J23102,100.000,35,0,0,517,551,1,35,7.92e-15,65.8
8ac19713-d2fc-43b2-a682-7af4a8eab569,J23118,100.000,35,0,0,286,320,1,35,7.92e-15,65.8
e90bf859-2050-4375-b273-45efe742c062,J23107,100.000,35,0,0,3651,3685,1,35,9.91e-15,65.8
e90bf859-2050-4375-b273-45efe742c062,J23100,100.000,35,0,0,663,697,1,35,9.91e-15,65.8
e90bf859-2050-4375-b273-45efe742c062,J23113,100.000,35,0,0,732,766,1,35,9.91e-15,65.8
fd2b4369-6293-4540-bdac-0e93fbdd88e6,J23100,100.000,35,0,0,1921,1955,1,35,1.01e-14,65.8
fd2b4369-6293-4540-bdac-0e93fbdd88e6,J23113,100.000,35,0,0,161,195,1,35,1.01e-14,65.8
fd2b4369-6293-4540-bdac-0e93fbdd88e6,J23118,100.000,35,0,0,1687,1721,1,35,1.01e-14,65.8
7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38,J23107,100.000,35,0,0,3222,3256,1,35,9.76e-15,65.8
7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38,J23100,100.000,35,0,0,416,450,1,35,9.76e-15,65.8
e1ecf761-3c46-419e-ad54-eef235eb7ce5,J23100,100.000,35,0,0,932,966,35,1,6.66e-15,65.8
e1ecf761-3c46-419e-ad54-eef235eb7ce5,J23113,100.000,35,0,0,1122,1156,35,1,6.66e-15,65.8
529aa989-0d1e-4cba-97e5-db3c47ded2a2,J23118,100.000,35,0,0,1673,1707,35,1,6.67e-15,65.8
ccc714e3-eb83-4491-be75-491a874cb300,J23113,100.000,35,0,0,430,464,35,1,8.80e-15,65.8
1e5d7c3d-0c06-4e30-8671-f6fbf27e96bb,J23116,100.000,35,0,0,1687,1721,1,35,6.75e-15,65.8
9c95d901-8c7c-4861-941d-b3bb52971354,J23113,100.000,35,0,0,2226,2260,1,35,6.54e-15,65.8
f64d9a7a-004b-4d22-968c-da333299ede5,J23100,100.000,35,0,0,206,240,1,35,6.73e-15,65.8
f64d9a7a-004b-4d22-968c-da333299ede5,J23118,100.000,35,0,0,275,309,1,35,6.73e-15,65.8
073148b7-1823-4b14-acf8-18caa98ab2b5,J23102,100.000,35,0,0,367,401,35,1,6.62e-15,65.8
916e1548-98b4-44a7-a727-2a7d5efcc182,J23102,100.000,35,0,0,2598,2632,1,35,6.60e-15,65.8
916e1548-98b4-44a7-a727-2a7d5efcc182,J23113,100.000,35,0,0,2521,2555,1,35,6.60e-15,65.8
8c253845-b1a2-4eb5-b2cb-2f9b375d224f,J23116,100.000,35,0,0,1529,1563,1,35,8.77e-15,65.8
cf856a4a-6c42-4374-ad4c-41fa21abb592,J23113,100.000,35,0,0,762,796,1,35,7.84e-15,65.8
20dc884e-c56e-4b92-84e3-70054acd18c2,J23107,100.000,35,0,0,1223,1257,1,35,1.03e-14,65.8
20dc884e-c56e-4b92-84e3-70054acd18c2,J23100,100.000,35,0,0,4199,4233,1,35,1.03e-14,65.8
23a315b9-4088-46e8-887c-1de1c173165d,J23100,100.000,35,0,0,244,278,1,35,2.21e-15,65.8
