query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
fd820c5e-b16c-40e7-a021-c6d6985ad2db,T3_ECK120033737,100.000,57,0,0,1665,1721,57,1,6.03e-27,106
72e52605-61dc-4d45-8fa7-56a6508a3907,T3_ECK120033737,93.103,58,0,2,306,360,1,57,4.53e-20,82.4
bfddf483-e79c-49ef-a4ab-6e5dbf7db47a,T1_L3S2P55,98.246,57,1,0,578,634,1,57,3.34e-25,100
bfddf483-e79c-49ef-a4ab-6e5dbf7db47a,T3_ECK120033737,94.828,58,1,2,3412,3468,1,57,7.22e-22,89.8
6aa0c683-0462-4c14-839f-abdbb779c7d9,T1_L3S2P55,100.000,57,0,0,3527,3583,1,57,9.03e-27,106
e8c743bf-c99a-4c18-a970-949175326c7f,T1_L3S2P55,100.000,57,0,0,2650,2706,57,1,6.56e-27,106
436ff6fc-1199-45b7-a86d-d41e52e7114c,T3_ECK120033737,96.552,58,1,1,1585,1642,57,1,1.14e-23,95.3
54965547-7674-4b7b-839a-12e6acd66262,T3_ECK120033737,100.000,57,0,0,571,627,57,1,8.16e-27,106
54965547-7674-4b7b-839a-12e6acd66262,T1_L3S2P55,98.246,57,1,0,3979,4035,57,1,3.80e-25,100
b4910660-f324-4b64-a771-4069b3e5ddf6,T3_ECK120033737,96.610,59,0,1,2033,2091,57,1,2.93e-24,97.1
201cf183-c6fc-4de1-8810-be1f3f710486,T3_ECK120033737,100.000,57,0,0,4224,4280,57,1,9.16e-27,106
201cf183-c6fc-4de1-8810-be1f3f710486,T3_ECK120033737,93.103,58,3,1,773,830,57,1,4.29e-20,84.2
201cf183-c6fc-4de1-8810-be1f3f710486,T1_L3S2P55,98.246,57,0,1,3597,3652,57,1,1.53e-24,99.0
0f5fddb3-9a1f-40a5-a438-55e68385047a,T3_ECK120033737,100.000,57,0,0,1549,1605,1,57,6.07e-27,106
6298816c-194b-4ea8-9816-3fb0f909f817,T1_L3S2P55,100.000,57,0,0,3673,3729,1,57,1.27e-26,106
6298816c-194b-4ea8-9816-3fb0f909f817,T1_L3S2P55,93.103,58,2,2,5770,5826,1,57,5.93e-20,84.2
fc507159-9cc8-4104-b6cf-92e0b92d68c4,T3_ECK120033737,100.000,57,0,0,1201,1257,57,1,7.12e-27,106
fc507159-9cc8-4104-b6cf-92e0b92d68c4,T1_L3S2P55,100.000,47,0,0,541,587,57,11,2.58e-21,87.9
f0bb833b-fe13-4f50-b1f3-63f9b0b5398b,T3_ECK120033737,100.000,57,0,0,1020,1076,57,1,6.07e-27,106
a3e13fc1-2a02-427d-a914-c7caaaa1fcb2,T1_L3S2P55,98.276,58,0,1,2109,2166,1,57,3.32e-25,100
a3e13fc1-2a02-427d-a914-c7caaaa1fcb2,T3_ECK120033737,95.455,44,1,1,1448,1490,1,44,9.37e-16,69.4
73268df8-7a2f-4391-986c-bb64ede42839,T3_ECK120033737,98.246,57,0,1,1485,1540,1,57,1.03e-24,99.0
8d840083-2a95-47e4-ae33-8080e223403f,T3_ECK120033737,96.226,53,2,0,1247,1299,55,3,1.80e-21,87.9
8d840083-2a95-47e4-ae33-8080e223403f,T1_L3S2P55,96.000,50,1,1,598,646,50,1,3.01e-19,80.5
ce9f8ca3-8fc4-461f-8481-6531a731b8ae,T3_ECK120033737,100.000,57,0,0,1179,1235,1,57,4.52e-27,106
8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,T3_ECK120033737,100.000,57,0,0,1316,1372,57,1,5.84e-27,106
8cd078e9-9e3f-4113-8195-b3bf09cb7ec7,T3_ECK120033737,100.000,57,0,0,200,256,57,1,5.84e-27,106
09c39249-9f17-4afb-85b7-f29f8b8fd0e7,T1_L3S2P55,98.246,57,0,1,1051,1106,1,57,1.13e-24,99.0
09c39249-9f17-4afb-85b7-f29f8b8fd0e7,T3_ECK120033737,100.000,43,0,0,1138,1180,1,43,4.09e-19,80.5
bd40c5ca-3862-4225-8d16-2dddecf7daef,T3_ECK120033737,98.276,58,0,1,1383,1440,57,1,1.97e-25,100
bd40c5ca-3862-4225-8d16-2dddecf7daef,T3_ECK120033737,100.000,46,0,0,1320,1365,46,1,5.51e-21,86.1
