query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
f58a56a4-9215-457a-a1ef-2942906902b6,J23107,100.000,35,0,0,2579,2613,35,1,1.23e-14,65.8
f58a56a4-9215-457a-a1ef-2942906902b6,J23118,100.000,35,0,0,5256,5290,35,1,1.23e-14,65.8
687e9abd-f886-4283-a7ce-225d298a29b8,J23116,100.000,35,0,0,793,827,1,35,5.23e-15,65.8
b1ef419b-8bd1-459c-acf9-b3c167278548,J23102,100.000,35,0,0,1698,1732,35,1,5.22e-15,65.8
d0c6f5c8-ce82-466b-9c00-d6cb4e1d3bde,J23116,100.000,35,0,0,136,170,35,1,1.32e-15,65.8
d68e9642-1d27-46ab-9842-4c9e6e177c2a,J23116,100.000,35,0,0,560,594,1,35,4.10e-15,65.8
cf0d68be-6ac2-4a71-8c99-1e470a5d5306,J23113,100.000,35,0,0,296,330,35,1,2.10e-15,65.8
c04147e4-3981-46ee-a491-14c06ea817bf,J23118,100.000,35,0,0,1329,1363,1,35,3.59e-15,65.8
eca9bc1f-e4c0-4de1-85d5-40ff867a3bda,J23116,100.000,35,0,0,835,869,35,1,1.02e-14,65.8
701af728-89e5-4a11-ae24-73797c782c8e,J23118,100.000,35,0,0,252,286,1,35,6.16e-15,65.8
84cbd50b-969d-4724-a4a5-3d1595820444,J23107,100.000,35,0,0,1033,1067,35,1,5.95e-15,65.8
66a4f829-58e0-4344-8cb9-fb03b3438e5b,J23107,100.000,35,0,0,1004,1038,35,1,6.32e-15,65.8
873e3763-6d7f-4b30-b1df-36abd479ed5a,J23107,100.000,35,0,0,2759,2793,35,1,9.88e-15,65.8
873e3763-6d7f-4b30-b1df-36abd479ed5a,J23113,100.000,35,0,0,83,117,35,1,9.88e-15,65.8
f3985bf9-40e5-475a-808d-e8018ce3ee0e,J23100,100.000,35,0,0,3039,3073,35,1,1.24e-14,65.8
a5b44f32-0b39-4649-be67-401217e9247f,J23107,100.000,35,0,0,1916,1950,35,1,5.14e-15,65.8
0d671a38-737c-475f-9fb1-b34a5dc0ef81,J23107,100.000,35,0,0,5711,5745,35,1,1.34e-14,65.8
0d671a38-737c-475f-9fb1-b34a5dc0ef81,J23113,100.000,35,0,0,777,811,35,1,1.34e-14,65.8
05011c73-b883-4d7d-ba90-d0db45dea5d7,J23116,100.000,35,0,0,481,515,35,1,2.47e-15,65.8
e4fa7d1c-d418-4457-a2ac-998da00dfd16,J23102,100.000,35,0,0,509,543,1,35,8.33e-15,65.8
e4fa7d1c-d418-4457-a2ac-998da00dfd16,J23113,100.000,35,0,0,3185,3219,1,35,8.33e-15,65.8
8ca57bcf-819b-4558-98bc-069ecfb364e5,J23116,100.000,35,0,0,4191,4225,1,35,1.23e-14,65.8
